"","nombre_curso","genero","periodo","curso","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento"
"26823","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,48,58,"DESARROLLO DE SOFTWARE",1992
"26824","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,45,56,"DESARROLLO DE SOFTWARE",1993
"26825","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,51,68,"DESARROLLO DE SOFTWARE",1993
"26826","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2013,50,64,"DESARROLLO DE SOFTWARE",1993
"26827","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,24,24,"DESARROLLO DE SOFTWARE",1993
"26828","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,52,64,"DESARROLLO DE SOFTWARE",1992
"26829","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,47,62,"DESARROLLO DE SOFTWARE",1993
"26830","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,48,63,"DESARROLLO DE SOFTWARE",1990
"26831","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,43,55,"DESARROLLO DE SOFTWARE",1990
"26832","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,53,68,"DESARROLLO DE SOFTWARE",1982
"26833","ANALISIS Y DISE\O DE SISTEMAS 2",2,1,785,2016,2012,43,43,"DESARROLLO DE SOFTWARE",1991
"26834","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,41,53,"DESARROLLO DE SOFTWARE",1991
"26835","ANALISIS Y DISE\O DE SISTEMAS 2",2,1,785,2016,2012,10,10,"DESARROLLO DE SOFTWARE",1991
"26836","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,49,61,"DESARROLLO DE SOFTWARE",1989
"26837","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,50,66,"DESARROLLO DE SOFTWARE",1993
"26838","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,44,58,"DESARROLLO DE SOFTWARE",1993
"26839","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,42,55,"DESARROLLO DE SOFTWARE",1988
"26840","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,31,31,"DESARROLLO DE SOFTWARE",1989
"26841","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,49,61,"DESARROLLO DE SOFTWARE",1993
"26842","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2012,57,77,"DESARROLLO DE SOFTWARE",1992
"26843","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,20,20,"DESARROLLO DE SOFTWARE",1993
"26844","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,48,61,"DESARROLLO DE SOFTWARE",1987
"26845","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,20,20,"DESARROLLO DE SOFTWARE",1988
"26846","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,0,0,"DESARROLLO DE SOFTWARE",1992
"26847","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,46,57,"DESARROLLO DE SOFTWARE",1992
"26848","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2014,40,50,"DESARROLLO DE SOFTWARE",1991
"26849","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,42,55,"DESARROLLO DE SOFTWARE",1988
"26850","ANALISIS Y DISE\O DE SISTEMAS 2",2,5,785,2017,2012,61,83,"DESARROLLO DE SOFTWARE",1991
"26851","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,55,71,"DESARROLLO DE SOFTWARE",1993
"26852","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,45,61,"DESARROLLO DE SOFTWARE",1990
"26853","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,48,62,"DESARROLLO DE SOFTWARE",1992
"26854","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,45,58,"DESARROLLO DE SOFTWARE",1990
"26855","ANALISIS Y DISE\O DE SISTEMAS 2",2,1,785,2016,2012,49,63,"DESARROLLO DE SOFTWARE",1992
"26856","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,44,44,"DESARROLLO DE SOFTWARE",1993
"26857","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,51,65,"DESARROLLO DE SOFTWARE",1993
"26858","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,66,86,"DESARROLLO DE SOFTWARE",1995
"26859","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2012,62,84,"DESARROLLO DE SOFTWARE",1976
"26860","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,65,88,"DESARROLLO DE SOFTWARE",1992
"26861","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2012,42,42,"DESARROLLO DE SOFTWARE",1991
"26862","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2012,65,86,"DESARROLLO DE SOFTWARE",1994
"26863","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,59,82,"DESARROLLO DE SOFTWARE",1991
"26864","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,67,87,"DESARROLLO DE SOFTWARE",1992
"26865","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2014,60,84,"DESARROLLO DE SOFTWARE",1991
"26866","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,53,69,"DESARROLLO DE SOFTWARE",1994
"26867","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,58,81,"DESARROLLO DE SOFTWARE",1987
"26868","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,0,0,"DESARROLLO DE SOFTWARE",1987
"26869","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,41,65,"DESARROLLO DE SOFTWARE",1989
"26870","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,46,71,"DESARROLLO DE SOFTWARE",1991
"26871","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,50,67,"DESARROLLO DE SOFTWARE",1989
"26872","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,71,92,"DESARROLLO DE SOFTWARE",1993
"26873","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,70,88,"DESARROLLO DE SOFTWARE",1994
"26874","ANALISIS Y DISE\O DE SISTEMAS 2",2,2,785,2016,2012,66,88,"DESARROLLO DE SOFTWARE",1991
"26875","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,60,73,"DESARROLLO DE SOFTWARE",1990
"26876","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,68,90,"DESARROLLO DE SOFTWARE",1983
