nombre_curso,genero_1masc_2feme,periodo,curso,año,año_ingreso_a_la_carrera,zona,nota_total,nombre_area,año_nacimiento
ECONOMIA,1,1,14,2013,2010,48,68,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,45,63,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,1996,0,0,METODOLOGIA DE SISTEMAS,1977
ECONOMIA,1,1,14,2013,2009,38,48,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,1995,44,57,METODOLOGIA DE SISTEMAS,1976
ECONOMIA,2,1,14,2013,2010,43,64,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2007,45,57,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2009,48,62,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2009,45,57,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2013,2009,54,69,METODOLOGIA DE SISTEMAS,1990
